household_id,person_id,sample_weight,province,age_group,gender,marital_status,after_tax_income,household_size,household_composition,household_maj_income_flag,after_tax_low_income_flag,before_tax_low_income_flag,after_tax_below_lim_flag,disposable_income_below_mbm_flag,ownership_of_dwelling,monthly_mortgage_payment,monthly_condo_fee,monthly_rent,rent_subsidy_flag,core_housing_need_indicator,adult_food_security_status,child_food_security_status,household_food_security_status,atinc35,total_household_costs,affordable_housing_flag,income_bracket,housing_costs_flag
2859,285901,181.6442,Nova Scotia,50 to 54 years,Male,"Separated, divorced or widowed",50210.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,200.0,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1464.6257,200.0,Yes,40k - 60k,< $800/month
2872,287201,151.6509,Nova Scotia,70 years and over,Male,Married,60040.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,800.0,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1751.3668,800.0,Yes,60k - 80k,$800 - $1600 /month
2879,287902,60.1799,Nova Scotia,40 to 44 years,Male,Married,47990.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,500.0,,,Valid skip,Not in core housing need,Food secure,Food secure,Food secure,1399.8683,500.0,Yes,40k - 60k,< $800/month
2882,288202,120.9019,Nova Scotia,25 to 29 years,Female,Not stated,28600.0,3,Two or more person household/One economic family,Yes,No,No,No,Yes,Owned by a member of the household,400.0,,,Valid skip,Valid skip,Food secure,Food secure,Food secure,834.2620000000001,400.0,Yes,< 40k,< $800/month
2906,290601,98.4469,Nova Scotia,70 years and over,Female,"Separated, divorced or widowed",49520.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1444.4984000000002,0.0,Yes,40k - 60k,House paid in full
2910,291001,81.4481,Nova Scotia,40 to 44 years,Female,Single (never married),32500.0,2,Two or more person household/One economic family,Yes,No,No,Yes,Yes,Not owned by a member of the household,,,1500.0,Not stated,In core housing need,Moderately food insecure,Moderately food insecure,Moderately food insecure,948.0250000000001,1500.0,No,< 40k,$800 - $1600 /month
2934,293402,101.9053,Nova Scotia,45 to 49 years,Male,Married,64120.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1000.0,,,Valid skip,Not in core housing need,Food secure,Food secure,Food secure,1870.3804,1000.0,Yes,60k - 80k,$800 - $1600 /month
2960,296001,317.7969,Nova Scotia,25 to 29 years,Female,Not stated,51865.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1500.0,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1512.9020500000001,1500.0,Yes,40k - 60k,$800 - $1600 /month
2962,296201,162.4406,Nova Scotia,60 to 64 years,Female,Married,39710.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1158.3407,0.0,Yes,< 40k,House paid in full
2984,298401,215.7569,Nova Scotia,70 years and over,Male,Married,19450.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,567.3565,0.0,Yes,< 40k,House paid in full
2989,298901,138.1056,Nova Scotia,60 to 64 years,Female,Married,112660.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,3286.2922000000003,0.0,Yes,100k - 200k,House paid in full
3051,305101,197.327,Nova Scotia,70 years and over,Female,Single (never married),20675.0,1,One person household,Yes,No,Yes,Yes,Yes,Not owned by a member of the household,,,1500.0,No,In core housing need,Food secure,Valid skip,Food secure,603.08975,1500.0,No,< 40k,$800 - $1600 /month
3065,306501,212.5597,Nova Scotia,18 to 24 years,Male,Common-law,65970.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Not owned by a member of the household,,,1300.0,No,Not in core housing need,Food secure,Valid skip,Food secure,1924.3449,1300.0,Yes,60k - 80k,$800 - $1600 /month
3140,314002,143.5259,Nova Scotia,50 to 54 years,Male,Married,31260.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,400.0,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,911.8542,400.0,Yes,< 40k,< $800/month
3185,318501,129.9529,Nova Scotia,55 to 59 years,Female,"Separated, divorced or widowed",29650.0,1,One person household,Yes,No,No,No,No,Not owned by a member of the household,,,600.0,Not stated,Valid skip,Food secure,Valid skip,Food secure,864.8905000000001,600.0,Yes,< 40k,< $800/month
3224,322401,159.7709,Nova Scotia,45 to 49 years,Male,Single (never married),62110.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,700.0,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1811.7487,700.0,Yes,60k - 80k,< $800/month
3248,324802,174.4989,Nova Scotia,50 to 54 years,Female,Married,56190.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,500.0,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1639.0623,500.0,Yes,40k - 60k,< $800/month
3249,324903,281.4945,Nova Scotia,55 to 59 years,Female,Married,86375.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,2519.55875,0.0,Yes,80k - 100k,House paid in full
3256,325603,404.9554,Nova Scotia,30 to 34 years,Male,Married,23360.0,3,Two or more person household/Two or more economic families,Yes,No,No,Yes,No,Not owned by a member of the household,,,1000.0,Not stated,Valid skip,Severely food insecure,Moderately food insecure,Severely food insecure,681.4112,1000.0,No,< 40k,$800 - $1600 /month
3264,326405,296.2966,Nova Scotia,50 to 54 years,Female,Married,44260.0,5,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1291.0642,0.0,Yes,40k - 60k,House paid in full
3298,329801,135.0437,Nova Scotia,70 years and over,Female,"Separated, divorced or widowed",22900.0,1,One person household,Yes,No,No,Yes,No,Not owned by a member of the household,,,600.0,Yes,Not in core housing need,Marginally food insecure,Valid skip,Marginally food insecure,667.993,600.0,Yes,< 40k,< $800/month
3324,332401,122.698,Nova Scotia,65 to 69 years,Male,"Separated, divorced or widowed",37050.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,1100.0,,,Valid skip,Valid skip,Severely food insecure,Valid skip,Severely food insecure,1080.7485000000001,1100.0,No,< 40k,$800 - $1600 /month
3332,333202,163.7645,Nova Scotia,55 to 59 years,Male,Married,29575.0,2,Two or more person household/One economic family,Yes,No,No,Yes,Yes,Owned by a member of the household,600.0,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,862.70275,600.0,Yes,< 40k,< $800/month
3343,334303,148.1636,Nova Scotia,50 to 54 years,Male,Single (never married),24720.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,721.0824,0.0,Yes,< 40k,House paid in full
3346,334601,102.5947,Nova Scotia,50 to 54 years,Male,Married,50380.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1000.0,,,Valid skip,Valid skip,Food secure,Food secure,Food secure,1469.5846000000001,1000.0,Yes,40k - 60k,$800 - $1600 /month
3365,336501,79.3329,Nova Scotia,60 to 64 years,Male,Single (never married),56985.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1662.2524500000002,0.0,Yes,40k - 60k,House paid in full
3366,336601,285.5763,Nova Scotia,40 to 44 years,Female,"Separated, divorced or widowed",40245.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,800.0,,,Valid skip,Not in core housing need,Severely food insecure,Valid skip,Severely food insecure,1173.94665,800.0,Yes,40k - 60k,$800 - $1600 /month
3367,336702,140.0297,Nova Scotia,55 to 59 years,Male,Married,60630.0,3,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1768.5771000000002,0.0,Yes,60k - 80k,House paid in full
3389,338902,124.7064,Nova Scotia,40 to 44 years,Male,Married,92580.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1800.0,,,Valid skip,Not in core housing need,Food secure,Food secure,Food secure,2700.5586000000003,1800.0,Yes,80k - 100k,$1600 - $2400 /month
3396,339601,195.0328,Nova Scotia,70 years and over,Female,"Separated, divorced or widowed",25275.0,1,One person household,Yes,No,No,No,No,Not owned by a member of the household,,,700.0,No,In core housing need,Food secure,Valid skip,Food secure,737.27175,700.0,Yes,< 40k,< $800/month
3419,341902,421.3123,Nova Scotia,50 to 54 years,Male,Married,85100.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1300.0,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,2482.367,1300.0,Yes,80k - 100k,$800 - $1600 /month
3435,343502,215.9578,Nova Scotia,65 to 69 years,Female,Married,14725.0,2,Two or more person household/One economic family,Yes,No,Yes,Yes,Yes,Not owned by a member of the household,,,700.0,No,Not in core housing need,Food secure,Valid skip,Food secure,429.52825,700.0,No,< 40k,< $800/month
3437,343702,208.3395,Nova Scotia,60 to 64 years,Female,Married,21800.0,2,Two or more person household/One economic family,Yes,Yes,Yes,Yes,Yes,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,635.9060000000001,0.0,Yes,< 40k,House paid in full
3439,343902,105.5484,Nova Scotia,70 years and over,Male,"Separated, divorced or widowed",21300.0,1,One person household,Yes,No,Yes,Yes,No,Owned by a member of the household,,,,Valid skip,In core housing need,Food secure,Valid skip,Food secure,621.321,0.0,Yes,< 40k,House paid in full
3444,344401,175.0688,Nova Scotia,40 to 44 years,Female,Not stated,41660.0,1,One person household,Yes,No,No,No,No,Not owned by a member of the household,,,1000.0,No,Not in core housing need,Food secure,Valid skip,Food secure,1215.2222000000002,1000.0,Yes,40k - 60k,$800 - $1600 /month
3478,347802,228.5145,Nova Scotia,18 to 24 years,Male,Single (never married),28485.0,2,Two or more person household/Two or more economic families,Yes,No,No,No,No,Not owned by a member of the household,,,900.0,No,Not in core housing need,Food secure,Valid skip,Food secure,830.90745,900.0,No,< 40k,$800 - $1600 /month
3504,350402,179.6802,Nova Scotia,18 to 24 years,Female,Single (never married),36515.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Not owned by a member of the household,,,800.0,No,Valid skip,Moderately food insecure,Valid skip,Moderately food insecure,1065.14255,800.0,Yes,< 40k,$800 - $1600 /month
3522,352201,101.208,Nova Scotia,55 to 59 years,Male,Common-law,32980.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,962.0266,0.0,Yes,< 40k,House paid in full
3527,352701,191.3628,Nova Scotia,70 years and over,Male,"Separated, divorced or widowed",21000.0,1,One person household,Yes,No,Yes,Yes,Yes,Not owned by a member of the household,,,600.0,No,In core housing need,Food secure,Valid skip,Food secure,612.57,600.0,Yes,< 40k,< $800/month
3529,352902,188.647,Nova Scotia,30 to 34 years,Female,Common-law,68495.0,5,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1200.0,,,Valid skip,Valid skip,Food secure,Food secure,Food secure,1997.99915,1200.0,Yes,60k - 80k,$800 - $1600 /month
3533,353301,154.3403,Nova Scotia,45 to 49 years,Female,Married,26830.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,600.0,,,Valid skip,Valid skip,Severely food insecure,Valid skip,Severely food insecure,782.6311000000001,600.0,Yes,< 40k,< $800/month
3535,353502,97.8422,Nova Scotia,30 to 34 years,Male,Married,64415.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,1100.0,,,Valid skip,Valid skip,Food secure,Food secure,Food secure,1878.98555,1100.0,Yes,60k - 80k,$800 - $1600 /month
3564,356402,168.0475,Nova Scotia,60 to 64 years,Male,Married,64245.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1874.02665,0.0,Yes,60k - 80k,House paid in full
3565,356501,214.1642,Nova Scotia,60 to 64 years,Female,Married,47240.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1377.9908,0.0,Yes,40k - 60k,House paid in full
3577,357701,172.7496,Nova Scotia,25 to 29 years,Female,Not stated,14400.0,4,Two or more person household/One economic family,Yes,Yes,Yes,Yes,Yes,Not owned by a member of the household,,,700.0,Yes,In core housing need,Marginally food insecure,Food secure,Marginally food insecure,420.048,700.0,No,< 40k,< $800/month
3586,358601,159.8728,Nova Scotia,60 to 64 years,Female,"Separated, divorced or widowed",36350.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1060.3295,0.0,Yes,< 40k,House paid in full
3595,359501,167.7878,Nova Scotia,70 years and over,Female,"Separated, divorced or widowed",23450.0,1,One person household,Yes,No,No,Yes,No,Not owned by a member of the household,,,700.0,No,Not in core housing need,Food secure,Valid skip,Food secure,684.0365,700.0,No,< 40k,< $800/month
3596,359601,118.9851,Nova Scotia,55 to 59 years,Female,"Separated, divorced or widowed",10375.0,1,One person household,Yes,Yes,Yes,Yes,Yes,Not owned by a member of the household,,,900.0,No,In core housing need,Moderately food insecure,Valid skip,Moderately food insecure,302.63875,900.0,No,< 40k,$800 - $1600 /month
3636,363601,118.483,Nova Scotia,70 years and over,Female,Married,41820.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1219.8894,0.0,Yes,40k - 60k,House paid in full
3649,364902,155.0822,Nova Scotia,35 to 39 years,Male,Married,60080.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,800.0,,,Valid skip,Valid skip,Moderately food insecure,Valid skip,Moderately food insecure,1752.5336,800.0,Yes,60k - 80k,$800 - $1600 /month
3660,366001,170.0529,Nova Scotia,30 to 34 years,Female,Common-law,41990.0,5,Two or more person household/One economic family,Yes,No,No,No,No,Not owned by a member of the household,,,700.0,No,Valid skip,Food secure,Food secure,Food secure,1224.8483,700.0,Yes,40k - 60k,< $800/month
3671,367102,128.7421,Nova Scotia,40 to 44 years,Male,Married,84760.0,5,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,600.0,,,Valid skip,Valid skip,Food secure,Food secure,Food secure,2472.4492,600.0,Yes,80k - 100k,< $800/month
3673,367301,214.5842,Nova Scotia,18 to 24 years,Female,Single (never married),10795.0,1,One person household,Yes,Yes,Yes,Yes,Yes,Not owned by a member of the household,,,700.0,Not stated,Valid skip,Severely food insecure,Valid skip,Severely food insecure,314.89015,700.0,No,< 40k,< $800/month
3695,369501,142.0211,Nova Scotia,45 to 49 years,Female,"Separated, divorced or widowed",33860.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Not owned by a member of the household,,,900.0,Not stated,Not in core housing need,Food secure,Valid skip,Food secure,987.6962000000001,900.0,Yes,< 40k,$800 - $1600 /month
3725,372501,236.2876,Nova Scotia,65 to 69 years,Male,Married,56830.0,2,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,1657.7311000000002,0.0,Yes,40k - 60k,House paid in full
3728,372801,209.4754,Nova Scotia,40 to 44 years,Male,Single (never married),13450.0,1,One person household,Yes,Yes,Yes,Yes,Yes,Not owned by a member of the household,,,600.0,No,In core housing need,Moderately food insecure,Valid skip,Moderately food insecure,392.3365,600.0,No,< 40k,< $800/month
3734,373401,106.0701,Nova Scotia,70 years and over,Female,"Separated, divorced or widowed",54670.0,1,One person household,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Valid skip,Food secure,Valid skip,Food secure,1594.7239000000002,0.0,Yes,40k - 60k,House paid in full
3741,374104,333.6423,Nova Scotia,70 years and over,Male,"Separated, divorced or widowed",83590.0,4,Two or more person household/One economic family,Yes,No,No,No,No,Owned by a member of the household,,,,Valid skip,Not in core housing need,Food secure,Valid skip,Food secure,2438.3203000000003,0.0,Yes,80k - 100k,House paid in full
